,0,1,2,3,4,5
267,629.0805,1.598e-26,4,5,132,164
268,629.0938,7.670999999999999e-26,4,5,132,164
269,629.1636,1.0899999999999999e-26,4,5,132,164
270,629.2766,1.1890000000000002e-26,4,5,132,164
271,629.3826,3.186e-26,4,5,132,164
272,629.3863,1.2890000000000002e-26,4,5,132,164
273,629.4378,6.677e-26,4,5,132,164
274,629.4928,1.3880000000000003e-26,4,5,132,164
275,629.5959,1.485e-26,4,5,132,164
276,629.6325,6.321999999999999e-27,4,5,132,164
277,629.6957,1.577e-26,4,5,132,164
278,629.7919999999999,1.6630000000000004e-26,4,5,132,164
279,629.8354,5.221e-26,4,5,132,164
280,629.8851,1.737e-26,4,5,132,164
281,629.8942,7.529000000000001e-27,4,5,132,164
282,629.9746,1.797e-26,4,5,132,164
283,629.9757,8.167999999999999e-26,4,5,132,164
